Date,IE00B84J9L26,IE00BK1KHS51,IE00BRB37Q12,IE00BRB37T43,IE00BYR8FS70,LP68838366,LU0067412154,LU0110450813,LU0154237738,LU0329760770,LU1670722161,LU1670724373,LU1889097876,LU1897340425,LU2286300988,LU2530434740,PTF
2024-07-16,360810.45,282314.7197962,303027.9710346,273059.3561894,37876.630000000005,,101102.054078,275115.615399,141462.9425375,144203.80000000002,337498.5305,365164.8652,185734.2710603,213705.9,83090.15,233696.22,3337863.475795
2024-07-17,360810.45,280913.2049542,301575.4554834,271527.3757878,37846.270000000004,,100618.406871,273614.3603253,140784.8627885,145128.80000000002,337562.0379,365084.4986,185078.4417229,209826.75000000003,82003.34999999999,233027.88,3325402.1444331
2024-07-18,360269.91,281354.9110099,301792.4357154,271707.5105029,37947.47,,100892.2639978,273472.6328361,141104.0089555,146201.8,337515.8507,364972.6842,185390.2178536,209239.0,79593.79999999999,233473.44,3324927.9357712
2024-07-19,359999.64,281726.6009649,302013.4773852,271875.9726426,37856.39,,99964.809228,273482.2747908,141203.81335299998,145447.0,337391.7226,364521.9324,185639.78052099998,207593.3,78671.45,233919.0,3321307.1638855
2024-07-22,359999.64,281669.36158270005,302160.0374856,272231.9666811,37863.979999999996,,100428.1630742,273981.60061110003,141272.33599,146105.6,337423.4763,364018.76759999996,185544.07859020002,208533.69999999998,77977.90000000001,233473.44,3322684.0479149
2024-07-23,359999.64,283155.22599,303490.7856288,273446.0950013,37820.97,,100094.3009798,274977.21473999997,141896.29789750002,146320.19999999998,337498.5305,364074.6748,186186.9370282,209239.0,78528.45,234364.56,3331092.8825656
2024-07-24,359729.37,282887.4213256,302790.751767,272560.33529930003,37901.93,,98779.4788772,274212.8778294,141896.9744155,145928.0,337530.2842,363809.11559999996,186323.2195731,205242.30000000002,79086.15,234141.78,3322819.9888871
2024-07-25,359729.37,282807.6958161,302989.9919214,272755.040003,37851.33,,97501.1392292,274060.18816200003,141881.372519,146838.2,337380.1758,364172.5124,186112.7458063,200657.85,76426.35,234141.78,3315305.741657
2024-07-26,360810.45,283152.9311156,303899.2718664,273410.3065827,37891.810000000005,,97469.0632582,274531.511277,141982.130519,146438.59999999998,337371.5157,363543.5564,186022.5101545,202068.45,76562.2,234587.34,3319741.6468734
2024-07-29,360810.45,284619.3049245,305027.9047914,274651.20183040004,37955.060000000005,,97349.8452384,275674.0626234,142509.4295195,147467.2,337637.0921,365992.99059999996,187042.8942483,204184.35,77348.70000000001,235478.46,3333748.9458759
2024-07-30,361080.72,285191.7496792,305560.909815,275146.4960813,37972.770000000004,,96516.3839228,275944.6472517,142760.31813899998,148658.59999999998,337741.0133,365486.3316,187382.141935,203714.15,76926.85,235701.24,3335784.321724
2024-07-31,362702.34,285459.3991704,306282.38928,275872.8419626,38056.259999999995,,97881.4788468,276403.3959861,142663.32417,148199.80000000002,337790.08719999995,366517.1206,187253.6643555,206417.8,76898.25,236369.58,3344767.7315714
2024-08-01,363242.88,287016.1534513,307554.69462059997,277049.46000079997,38094.21,,97489.3906662,277252.70075190003,143260.35250449998,149235.8,338047.0035,368484.3552,188083.1952202,209591.65,77706.20000000001,237260.7,3359368.7459155
2024-08-02,364053.69,284113.7023452,304825.2620154,274427.90834090003,38013.25,,95297.62153240001,274019.7467565,142107.4770695,149487.4,337752.5601,370105.664,186479.33289720002,198541.95,74231.29999999999,235255.68000000002,3328712.5450571002
2024-08-05,362161.8,282628.72807260003,301622.766564,271882.9259465,38013.25,,94460.67099360001,271254.8801646,141692.463264,145299.0,336854.7964,372499.19100000005,186312.5292934,191488.94999999998,70070.0,233250.66,3299492.6116987
2024-08-06,361891.53,282269.2363673,302656.7647068,272576.95152500004,37745.07,,94673.56446760001,272879.0211096,141957.53837,145528.4,336866.3432,370161.5712,186251.44512730002,193722.4,70749.25,233919.0,3303848.0860736
2024-08-07,361891.53,282332.4480704,302698.6588542,272614.6837469,37826.03,,96465.874467,273646.8438093,141867.4691145,147615.19999999998,337166.56,368554.23919999995,186015.3198952,199717.44999999998,71592.95,233919.0,3313924.2571575
2024-08-08,361891.53,282864.561252,303398.8593132,273468.8987163,37919.64,,96429.5378154,274767.6656736,142085.66176299998,147230.4,337131.9196,369155.2416,186482.3223311,197484.0,71399.9,234141.78,3315851.9180646
2024-08-09,362432.07,283057.4175247,303420.0499722,273741.2531182,37970.240000000005,,97381.1056772,275098.967946,141988.955674,146816.0,337333.98860000004,368998.0026,186194.7760327,199012.15,73401.9,234364.56,3321211.437145
2024-08-12,362702.34,283057.7347325,303418.3991454,273754.5475621,37993.009999999995,,97207.558481,275253.1700508,141989.8540995,147297.0,337443.6832,368659.06519999995,186390.9253453,200422.75,74567.35,234587.34,3324744.7278166
2024-08-13,363513.14999999997,283000.0868331,303428.1097428,274030.1335065,38020.840000000004,,97174.9934366,275484.84632909996,141780.432195,147615.19999999998,337541.831,369777.2092,186213.53558139998,201833.35,74109.75,233696.22,3327219.6878245
2024-08-14,363783.42000000004,281470.2083921,301706.82747240004,272504.4844893,38122.04,,95955.6486292,274229.9762202,140871.07685100002,147163.80000000002,337596.6783,371402.0122,185284.68462979997,201010.50000000003,75189.4,234141.78,3320432.537184
2024-08-15,363513.14999999997,282373.20030009997,302652.9329712,273552.0993509,38205.53,,96402.7257832,275507.6705658,141527.42405899998,147163.80000000002,337596.6783,371402.0122,186147.964261,201010.50000000003,75189.4,234141.78,3326386.8677912
2024-08-16,364053.69,282696.8398709,302918.703465,274042.8548089,38266.25,,96914.90295379999,275936.60885310004,141327.7852765,148207.2,338159.5848,371279.71520000004,186145.51544810002,206535.35,77627.54999999999,233473.44,3337585.9906763
2024-08-19,364323.96,281116.0242436,301120.7082324,272650.703861,38289.020000000004,,97038.7909732,274932.47146770003,140382.49291250002,148710.4,338459.8016,370828.9634,185244.2682043,207593.3,77377.3,233027.88,3331096.0848947
2024-08-20,364323.96,280297.342052,300089.3327334,271730.6434694,38311.79,,96523.5094866,273843.2405232,139903.7100885,148192.4,338505.9888,370605.33459999994,184688.07531719998,208063.5,78149.5,232582.31999999998,3325810.6470703
2024-08-21,364864.5,280251.4743847,299911.5911904,271802.6666253,38324.439999999995,,94920.5361996,273713.1263451,139822.88657899998,147829.80000000002,338428.04789999995,371520.815,184824.1716482,208063.5,78163.79999999999,232359.54,3324800.8958723
2024-08-22,364053.69,280077.6925401,299754.17703,271632.7874847,38337.090000000004,,94998.2473966,273265.9430346,139961.239308,148362.6,338658.9839,371814.3278,185170.9740128,209003.90000000002,78378.3,233250.66,3326720.6125068
2024-08-23,365405.04,279070.7667839,299199.16603079997,270979.4305637,38395.28,,93195.7633688,273099.16455389996,139174.91547950002,149006.40000000002,338783.112,371311.163,183854.80816070002,207240.65,77563.2,231913.98,3318192.8399413
2024-08-26,365405.04,279126.79407340003,299259.2344182,271033.835106,38395.28,,94122.138995,273451.54650570004,139417.510756,150375.4,338783.112,371311.163,184336.03093120002,207240.65,77491.7,232805.09999999998,3322554.5357855
2024-08-27,365675.31,279274.1518749,299518.5732504,271268.71093159996,38428.17,,92887.0669146,273509.8318791,139538.329194,149857.4,338832.1859,370832.4576,184522.6733234,205947.6,76934.0,232359.54,3319386.000868
2024-08-28,365405.04,280405.7946599,300276.58293780003,271941.5034467,38458.53,,92232.46572719999,274229.8491861,140104.8998245,150871.19999999998,339008.2746,372184.713,185284.09595360002,206888.00000000003,77127.05,233696.22,3328114.2193358
2024-08-29,364864.5,281831.36873710004,301651.7544768,273393.4001279,38463.590000000004,,92998.7332188,275453.6538042,140744.57158350002,149872.2,339051.5751,371412.4948,186309.4998135,207710.85,76605.1,234364.56,3334727.8516618
2024-08-30,364594.23,281810.79430139996,301478.243493,273222.4844548,38478.770000000004,,94116.843076,275383.27624770004,140770.016577,151744.4,339276.7377,371391.5296,186292.530321,207828.4,76862.5,234587.34,3337838.0957709
2024-09-02,364594.23,281821.9707303,301464.6935874,273210.2070322,38499.009999999995,,93142.5581104,275370.900732,140872.053244,152166.19999999998,339322.9249,370084.6988,186105.08100190002,207828.4,76862.5,234587.34,3335932.7681382
2024-09-03,364864.5,282878.598093,302414.5349022,274084.7234052,38488.89,,93386.5204282,275487.6670182,141209.09115300002,151996.0,339487.4668,370353.7522,186524.9533004,205830.05000000002,77563.2,235032.90000000002,3339602.8473002
2024-09-04,365675.31,282056.6084427,301786.11511859996,273556.0601245,38488.89,,92234.2342948,274892.900013,140704.99528049998,153890.4,339091.9889,372023.97980000003,185857.0440871,202186.0,75146.5,234810.12,3332401.1460611997
2024-09-05,365945.57999999996,282811.2484379,302564.9797464,274289.2934594,38509.130000000005,,92402.8550774,276087.7761066,141180.483078,154156.8,339239.2106,372604.01700000005,186332.6003486,202891.30000000002,73859.5,234587.34,3337462.1138543
2024-09-06,366486.12,282327.4442625,301665.0443898,273487.002671,38536.96,,92058.6950406,275119.27876980003,140654.648667,154082.8,339380.65890000004,374441.9662,185942.8866927,201363.15,73401.9,235032.90000000002,3333981.4555934
2024-09-09,367026.66,284481.7631474,304245.3447348,275632.6761629,38544.549999999996,,91249.4733068,276995.3509485,141753.2047445,153520.4,339579.8412,373260.9266,187373.04748839999,200892.95,71936.15,236369.58,3342861.9183333
