Date,IE00B84J9L26,IE00BK1KHS51,IE00BRB37Q12,IE00BRB37T43,IE00BYR8FS70,LP68838366,LU0067412154,LU0110450813,LU0154237738,LU0329760770,LU1670722161,LU1670724373,LU1889097876,LU1897340425,LU2286300988,LU2530434740
2024-09-06,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-09,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-10,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-11,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-12,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-13,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-16,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-17,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-18,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-19,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-20,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-23,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-24,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-25,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-26,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-27,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-09-30,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-01,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-02,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-03,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-04,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-07,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-08,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-09,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-10,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-11,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-14,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-15,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-16,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-17,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-18,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-21,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-22,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-23,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-24,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-25,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-28,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-29,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-30,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-10-31,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-01,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-04,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-05,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-06,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-07,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-08,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-11,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-12,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-13,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-14,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-15,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-18,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-19,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-20,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-21,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-22,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-25,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-26,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-27,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-28,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-11-29,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-02,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-03,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-04,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-05,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-06,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-09,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-10,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-11,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-12,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-13,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-16,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-17,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-18,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-19,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-20,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-23,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-24,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-25,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-26,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-27,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-30,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2024-12-31,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2025-01-01,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2025-01-02,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2025-01-03,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2025-01-06,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
2025-01-07,27027.0,2639.0,25242.0,24389.0,253.0,,106.0,6651.0,11995.0,740.0,28867.0,34942.0,20023.0,11755.0,715.0,22278.0
